title,artist,top genre,genre simplified,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity
Flowers,Miley Cyrus,pop,pop,2023,118,68,71,-4,3,65,200,6,7,98
Cupid - Twin Ver.,FIFTY FIFTY,other,pop,2023,120,59,78,-8,35,73,174,44,3,97
BESO,ROSALÍA,pop,pop,2023,95,64,77,-7,17,53,195,74,14,96
Boy's a liar Pt. 2,PinkPantheress,other,other,2023,133,81,70,-8,25,86,131,25,5,96
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,other,rap,2022,98,62,72,-6,8,17,222,42,5,96
Daylight,David Kushner,other,songwriter,2023,130,43,51,-9,9,32,213,83,3,96
TQG,KAROL G,reggaeton,reggaeton,2023,180,63,72,-4,9,61,199,67,28,96
Calm Down (with Selena Gomez),Rema,other,other,2022,107,81,80,-5,11,80,239,38,4,95
Anti-Hero,Taylor Swift,pop,pop,2022,97,64,64,-7,14,53,201,13,5,94
Here With Me,d4vd,other,pop,2022,132,47,57,-8,13,29,242,53,3,94
I'm Good (Blue),David Guetta,big room,other,2022,128,97,56,-4,37,30,175,0,3,94
Kill Bill,SZA,pop,pop,2022,89,74,64,-6,16,42,154,5,4,94
Die For You - Remix,The Weeknd,canadian contemporary r&b,R&B,2023,67,53,53,-6,44,50,233,23,7,93
I Ain't Worried,OneRepublic,piano rock,rock,2022,140,80,70,-6,5,83,148,8,5,93
Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap,other,hip hop,2022,128,78,62,-6,23,55,199,1,4,93
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,other,songwriter,2022,101,55,55,-5,20,34,176,78,3,93
As It Was,Harry Styles,pop,pop,2022,174,73,52,-5,31,66,167,34,6,92
Me Porto Bonito,Bad Bunny,reggaeton,reggaeton,2022,92,71,91,-5,9,43,179,9,8,92
Players,Coi Leray,other,rap,2022,105,52,95,-6,5,62,140,3,16,92
